,place_name,place_ID,latitude,Longitude,plus_code,rating,user_ratings_total,business_status,types,address,region,population,num_bus_stop,num_mall
262,Tanglin Shopping Center,ChIJlaNqr-0Z2jER84VXgF37kD4,1.3062265,103.8266074,8R4G+FJ Singapore,3.4,16,OPERATIONAL,shopping_mall,"19 Tanglin Rd, #02-43B, Singapore 247909",Orchard,920,11,11
263,Wilkie Edge,ChIJlxTWC7wZ2jERIkDaBnF-bv0,1.3022938,103.8496144,8R2X+WR Singapore,3.9,39,OPERATIONAL,shopping_mall,"8 Wilkie Rd, #01-22, Singapore 228095",Rochor,14590,12,10
264,Free​fire​,ChIJlzLofSEb2jERYeF5iWfVzWI,1.2990363,103.7897678,7QXQ+JW Singapore,4.5,13,OPERATIONAL,shopping_mall,"1 Fusionopolis Link, Singapore",Queenstown,98050,9,0
265,Yew Tee Square,ChIJm6Oexh0R2jERMVrJ75QsnUw,1.3980076,103.7468328,9PXW+6P Singapore,4.1,94,OPERATIONAL,shopping_mall,"624 Choa Chu Kang Street 62, Singapore 680624",Choa Chu Kang,174330,0,1
266,Rivervale Mall,ChIJmQIrNAUW2jER6VgPAnslDhU,1.3919537,103.9047236,9WR3+QV Singapore,3.9,2285,OPERATIONAL,shopping_mall,"11 Rivervale Cres, Singapore 545082",Sengkang,206680,11,0
267,Tekka Place,ChIJmWKUuaAZ2jERiT7O0hjSD3Q,1.3050631,103.8514261,8V42+2H Singapore,4.3,94,OPERATIONAL,shopping_mall,"2 Serangoon Rd, Singapore 218227",Rochor,14590,10,5
268,Tanglin Mall,ChIJmXU4W4oZ2jERDul4uxP0pYc,1.3050606,103.8238701,8R4F+2G Singapore,4.1,2153,OPERATIONAL,shopping_mall,"163 Tanglin Rd, Singapore 247933",Orchard,920,9,4
269,Djitsun Mall Bedok,ChIJmZY00kw92jERX8VUgpCxSkU,1.3262627,103.9294958,8WGH+GQ Singapore,4,585,OPERATIONAL,shopping_mall,"445 Bedok North Street 1, Singapore 469661",Bedok,289750,10,3
270,Wheelock Place,ChIJmbzds40Z2jERALKuryaSSVI,1.3047145,103.8305375,8R3J+V6 Singapore,4.1,2610,OPERATIONAL,shopping_mall,"501 Orchard Rd, Singapore 238880",Orchard,920,12,16
271,Eastwood Centre,ChIJn5UhBdQi2jERvap5_8H0aY4,1.3216364,103.9556659,8XC4+M7 Singapore,4,91,OPERATIONAL,shopping_mall,"20 Eastwood Rd, Singapore 486442",Bedok,289750,0,0
272,Elegance Beauty & Slimming,ChIJn5yMmIwZ2jERiH9SZZJOguQ,1.27881,103.845292,7RHW+G4 Singapore,1.7,17,OPERATIONAL,shopping_mall,"10 Anson Rd, International Plaza, Singapore 079903",Downtown Core,3720,30,9
273,Heritage Hub,ChIJnQMFeW8U2jERtZuKLnXC20o,1.429481,103.8360523,CRHP+QC Singapore,3.5,6,OPERATIONAL,shopping_mall,"930 Yishun Ave 2, #02 - 30, Singapore 769098",Yishun,201970,7,4
274,Clarke Quay,ChIJnXwAOKAZ2jERAs-MHs1aDgI,1.2906024,103.8464742,7RRW+6H Singapore,4.5,33464,OPERATIONAL,shopping_mall,"3 River Valley Rd, Singapore 179024",Singapore River,2720,18,6
275,Oasis Terraces,ChIJo7TzxRkV2jERIHtqiVMqOo4,1.4023703,103.9132022,CW27+W7 Singapore,4.2,1263,OPERATIONAL,shopping_mall,"681 Punggol Dr, Singapore 820681",Punggol,109750,7,0
276,Delfi Orchard,ChIJo9rEsIwZ2jERlzp8CnVOPzE,1.307349,103.8283279,8R4H+W8 Singapore,3.9,483,OPERATIONAL,shopping_mall,"402 Orchard Rd, Singapore 238876",Orchard,920,9,11
